,hotel_name,app_name,category,permit_day,address,permit_date,keido,ido,year,age,count
1355,布袋庵,"前田　一樹
　",簡易宿所,H27.04.15,京都市東山区本町十二丁目２２２番９,2015-04-15 00:00:00,135.77013512,34.98168583,2015,2010,1
2033,ダース,"服部不動産株式会社
代表取締役　服部　浩之",簡易宿所,H27.04.16,京都市下京区東洞院通正面下る笹屋町270番地,2015-04-16 00:00:00,135.7613025,34.99100702,2015,2010,1
2034,サンタナゲストハウス京都,"山口　玲子
　",簡易宿所,H27.04.17,京都市下京区七条御所ノ内中町45番地2,2015-04-17 00:00:00,135.73155778,34.98645154,2015,2010,1
2035,樸宿,"株式会社　峯盛
代表取締役　島谷　健太",簡易宿所,H27.04.24,京都市下京区西洞院通六条下る西側町490番地,2015-04-24 00:00:00,135.75500022,34.99369285,2015,2010,1
726,花綴,"三谷　勉
　",簡易宿所,H27.05.01,京都市中京区壬生下溝町２６番地３２,2015-05-01 00:00:00,135.7390209,34.99901445,2015,2010,1
499,蕎麦打ち　おくで,"奥出　一順
　",簡易宿所,H27.05.13,京都市左京区久多中の町111番地,2015-05-13 00:00:00,135.81406098,35.27050481,2015,2010,1
1356,五条町家,"オシュネー パトリック マークイヴ
　",簡易宿所,H27.05.14,京都市東山区耳塚通五条下る二丁目蛭子町北組２６１番地７,2015-05-14 00:00:00,135.77423409,35.00358939,2015,2010,1
2036,ｎａｏ炬乃座　別邸　油小路,"株式会社ディー・メイクス
代表取締役　宮本　健一",簡易宿所,H27.05.14,京都市下京区油小路通五条上る上金仏町263番地,2015-05-14 00:00:00,135.75396686,34.99730366,2015,2010,1
1357,六波羅屋,"研　佐千代
　",簡易宿所,H27.05.14,京都市東山区東大路五条上る西入竹村町１４７番地,2015-05-14 00:00:00,135.77523693,34.996567799999994,2015,2010,1
2037,タベルトマル,"株式会社　フーリエ
代表取締役　北田　昌宏",簡易宿所,H27.05.19,京都市下京区河原町通松原上る二丁目富永町350番地,2015-05-19 00:00:00,135.76849584,35.00133401,2015,2010,1
1358,京都旅庵　然,"株式会社　Ｋ‐ｃｕｂｅ
代表取締役　　洋介",簡易宿所,H27.05.19,京都市東山区三条通白川筋黒谷道西入柚之木町３５６番地,2015-05-19 00:00:00,135.78388579,35.00993332,2015,2010,1
171,ステラ御所,"ステラ住宅販売株式会社
代表取締役　倉本　直樹",簡易宿所,H27.05.19,京都市上京区西三本木通丸太町上る真町４８４番地,2015-05-19 00:00:00,135.77015637,35.01799924,2015,2010,1
3153,観月荘,"株式会社　ＬＫ
代表取締役　李　暁宣",簡易宿所,H27.05.19,京都市伏見区深草小久保町７５－１,2015-05-19 00:00:00,135.76113871,34.95331641,2015,2010,1
1359,京都東山くるみ,"株式会社　ラフ
代表取締役　渡邉　幸生",簡易宿所,H27.05.22,京都市東山区泉涌寺五葉ノ町４番地５,2015-05-22 00:00:00,135.77254594,34.98208308,2015,2010,1
172,ＴＡＫＥＹＡ　ＨＯＮＫＡＮ,"Jiun Hao Neoh
　",簡易宿所,H27.05.22,京都市上京区今出川通七本松西入真盛町７２９番地５,2015-05-22 00:00:00,135.73797879,35.02975896,2015,2010,1
3154,京町家　ＩＮＡＲＩ,"柴田　嘉緒理
　",簡易宿所,H27.05.22,京都市伏見区深草稲荷御前町91番地,2015-05-22 00:00:00,135.77075449999998,34.96715407,2015,2010,1
727,ゲストハウス　Ｇｏｌｄｆｉｓｈ,"畑　剣太郎
　",簡易宿所,H27.05.26,京都市中京区壬生梛ノ宮町１３番地１８,2015-05-26 00:00:00,135.74368429,35.00309475,2015,2010,1
1360,和空間冨月,"横山　幹子
　",簡易宿所,H27.05.26,京都市東山区園町南側５７０番地８,2015-05-26 00:00:00,135.77423409,35.00358939,2015,2010,1
728,宿屋　三坊,"嶋田　修司
　",簡易宿所,H27.05.27,京都市中京区猪熊通御池下る三坊猪熊町北組３７０番地２,2015-05-27 00:00:00,135.75061954,35.01076921,2015,2010,1
1361,ゲストハウス　トゥ・カサ,"阪本　貴洋
　",簡易宿所,H27.05.28,京都市東山区宮川筋四条下る宮川筋八丁目４１４番地４,2015-05-28 00:00:00,135.77423409,35.00358939,2015,2010,1
2580,懐古的未来,"松村　友徳
　",簡易宿所,H27.06.01,京都市南区東九条中札辻町33番地3,2015-06-01 00:00:00,135.76203344,34.97710824,2015,2010,1
500,ＹＡＭＡＷＡ　ＨＯＵＳＥ,"高岸　正憲
　",簡易宿所,H27.06.04,京都市左京区新間之町通二条下る頭町３４４番地,2015-06-04 00:00:00,135.77586425,35.01306636,2015,2010,1
21,エキスポ　ホステル　ニシ,"株式会社　新和建設
代表取締役　小森　裕",簡易宿所,H27.06.09,京都市北区紫野西藤ノ森町１番地の４９,2015-06-09 00:00:00,135.74633067,35.03649459,2015,2010,1
2038,MATCHA　backpackers,"グライナー　優希
　",簡易宿所,H27.06.09,京都市下京区七条通木屋町下る大宮町25番地6,2015-06-09 00:00:00,135.76566595,34.98995996,2015,2010,1
2581,京乃怡,"怡華年合同会社
代表社員　汪　洋",簡易宿所,H27.06.10,京都市南区東九条北松ノ木町３９番地１３,2015-06-10 00:00:00,135.76683562,34.97801386,2015,2010,1
1362,アンバーハウス園,"有限会社　アナザー・ワールド
取締役　カーティスハーズ",簡易宿所,H27.06.10,京都市東山区大和大路通四条下る四丁目小松町５６３番地１５,2015-06-10 00:00:00,135.77525629,35.00033412,2015,2010,1
2582,ｃａｓｔｉｎｇ　ｆａｃｔｏｒｙ　Ｙ,"山上　寛
　",簡易宿所,H27.06.17,京都市南区東九条南松ノ木町１４番地５,2015-06-17 00:00:00,135.76439147,34.97665559,2015,2010,1
1363,うの庵,"蔵本　賢
　",簡易宿所,H27.06.18,京都市東山区六波羅裏門通三盛町１７０番地１,2015-06-18 00:00:00,135.77314549,34.99651502,2015,2010,1
2583,京お宿　こことまろ,"有限会社ワンダーランド
代表取締役　野口　大輔",簡易宿所,H27.06.25,京都市南区東九条上殿田町40番地23,2015-06-25 00:00:00,135.75885028,34.98303264,2015,2010,1
729,ＰＩＥＣＥ　ＨＯＳＴＥＬ　ＳＡＮＪＯ,"株式会社ティーエーティー
代表取締役　田畑　伸幸",簡易宿所,H27.06.30,京都市中京区富小路通三条下る朝倉町５３１，５３３番地,2015-06-30 00:00:00,135.76464602,35.00803065,2015,2010,1
1364,三十三町家,"オシュネー パトリック マークイヴ
　",簡易宿所,H27.07.03,京都市東山区大仏南門通大和大路東入三丁目南瓦町７００番地４,2015-07-03 00:00:00,135.77339854,34.98606879,2015,2010,1
2039,パークサイド梅小路,"株式会社ゲストハウスイン
代表取締役　中村　淳",簡易宿所,H27.07.03,京都市下京区七条通大宮西入花畑町90番地，90番地1,2015-07-03 00:00:00,135.7487259,34.98889871,2015,2010,1
2989,徳平庵,"植田　秀男
　",簡易宿所,H27.07.03,京都市右京区京北上弓削町弾正４番地,2015-07-03 00:00:00,135.63960267,35.20418225,2015,2010,1
1365,京町家　古今 東山,"宮村　明子
　",簡易宿所,H27.07.10,京都市東山区正面通本町東入茶屋町５１７番地６,2015-07-10 00:00:00,135.7705987,34.99130436,2015,2010,1
2040,アイゲストハウス梅小路イン京都,"山本　央
　",簡易宿所,H27.07.10,京都市下京区猪熊通塩小路上る金換町112番地3,2015-07-10 00:00:00,135.75073135,34.98678223,2015,2010,1
1366,きりは イン アンド カフェ,"株式会社　桜士堂
代表取締役　木村　公一",簡易宿所,H27.07.15,京都市東山区大仏馬町通伏見街道東入五丁目常盤町４５９番地１５,2015-07-15 00:00:00,135.77533425,34.99266817,2015,2010,1
173,民宿　翠川,"加藤　千尋
　",簡易宿所,H27.07.16,京都市上京区小川通今出川上る中小川町２３２番地１,2015-07-16 00:00:00,135.75439393,35.03007024,2015,2010,1
730,よしのや,"田　智彦
　",簡易宿所,H27.07.17,京都市中京区高瀬川筋四条上る紙屋町３５７番地,2015-07-17 00:00:00,135.77009279,35.00508925,2015,2010,1
1367,清水町家,"オシュネー パトリック マークイヴ
　",簡易宿所,H27.07.28,京都市東山区馬町通大和大路東入四丁目常盤町４６０番地３,2015-07-28 00:00:00,135.77512317,34.99233764,2015,2010,1
501,御宿　北川,"K＆M合同会社
代表社員　髙村　眞理",簡易宿所,H27.07.31,京都市左京区田中上柳町２０番地,2015-07-31 00:00:00,135.77331448,35.03118673,2015,2010,1
2041,庵町家ステイ　さき材木町町家,"株式会社　庵町家ステイ
代表取締役　三浦　充博",簡易宿所,H27.08.03,京都市下京区木屋町通松原下る材木町４３０番地,2015-08-03 00:00:00,135.76826818,34.99833426,2015,2010,1
2042,庵町家ステイ　石不動之町町家,"株式会社　庵町家ステイ
代表取締役　三浦　充博",簡易宿所,H27.08.03,京都市下京区松原通寺町西入石不動之町６８１番地４,2015-08-03 00:00:00,135.76592672,34.99920084,2015,2010,1
2990,遊月,"西村　眞夫
　",簡易宿所,H27.08.03,京都市右京区京北弓槻町南ノ下１２番地,2015-08-03 00:00:00,135.60831431,35.13516821,2015,2010,1
1368,麻呂家　慈法院,"アジアンエージェンシー合同会社
代表社員　福井　清高",簡易宿所,H27.08.04,京都市東山区五条通若宮八幡前南入慈法院庵町５８９番地１５,2015-08-04 00:00:00,135.78074194,34.99443747,2015,2010,1
1369,あんど,"山梨　龍一
　",簡易宿所,H27.08.12,京都市東山区三条通北裏白川筋西入二丁目東姉小路町４１４番地,2015-08-12 00:00:00,135.77957231,35.00996664,2015,2010,1
2043,花籠,"小竹　佐代子
　",簡易宿所,H27.08.12,京都市下京区加茂川端正面上る平岡町383番地,2015-08-12 00:00:00,135.76657967,34.9921209,2015,2010,1
2044,京町家お宿　花,"長谷川　美佳
　",簡易宿所,H27.08.14,京都市下京区新町通六条下る艮町８６５番地１,2015-08-14 00:00:00,135.75675562,34.99342066,2015,2010,1
2045,ベッセルホテルカンパーナ京都五条,"株式会社ベッセルホテル開発
代表取締役　澁谷　誠",ホテル,H27.08.25,京都市下京区東洞院通五条下る下万寿寺町４９８番地,2015-08-25 00:00:00,135.76117178,34.99585385,2015,2010,1
174,京都紅葉,"京都紅葉株式会社
代表取締役　山下　武",簡易宿所,H27.08.27,京都市上京区今出川通七本松西入真盛町734番地1,2015-08-27 00:00:00,135.73774548,35.03005892,2015,2010,1
22,孤舟,"鎌塚　慶一郎
　",簡易宿所,H27.08.28,京都市北区紫野北舟岡町27番地184,2015-08-28 00:00:00,135.74349762,35.03793047,2015,2010,1
1370,ゲストハウス　小さな町家の美術館　鶴屋定家,"定家　菜穂子
　",簡易宿所,H27.09.07,京都市東山区高台寺南門通下河原東入桝屋町349番地23,2015-09-07 00:00:00,135.78080021,34.99827321,2015,2010,1
1371,八坂翠仁花,"株式会社　小松法衣佛具店
代表取締役　上坊　晴樹",簡易宿所,H27.09.07,京都市東山区下河原通八坂鳥居前下る上弁天町428番地4,2015-09-07 00:00:00,135.77850597,35.00013415,2015,2010,1
23,六壺,"沖　祐佳
　",簡易宿所,H27.09.07,京都市北区紫野上門前町４１番地,2015-09-07 00:00:00,135.74800836,35.0448797,2015,2010,1
175,正庵,"佐藤　悦子
　",簡易宿所,H27.09.07,京都市上京区大宮通鞍馬口下る筋違橋町５７６番地,2015-09-07 00:00:00,135.7490749,35.03776945,2015,2010,1
1372,つき草庵,"株式会社　エイジェーインターブリッジ
代表取締役　新木　弘明",簡易宿所,H27.09.09,京都市東山区新宮川町通松原下る西御門町４４０番地８,2015-09-09 00:00:00,135.77071236,34.99844539,2015,2010,1
176,京の宿　Ｂａｍｂｏｏ　ｔｏｗｎ,"岩佐　明子
　",簡易宿所,H27.09.09,京都市上京区御前通西裏上ノ下立売上る北町５７０番地１,2015-09-09 00:00:00,135.73312380000002,35.0223929,2015,2010,1
2046,minato hotel,"釜堀　聡子
　",簡易宿所,H27.09.11,京都市下京区松原通東洞院東入本燈籠町１３番地１,2015-09-11 00:00:00,135.76180771,34.99906748,2015,2010,1
1373,そら（ＳＯＬＡ）,"合同会社　ＨＩＤＡＫＡ
代表社員　日髙　ルリ子",簡易宿所,H27.09.14,京都市東山区大黒町通五条上る大黒町３０２番地９,2015-09-14 00:00:00,135.77087629,34.99661499,2015,2010,1
2584,ＳＨＩＢＡＩＮＮ　ＧＵＥＳＴＨＯＵＳＥ（柴苑）,"史　奉喜
　",簡易宿所,H27.09.14,京都市南区東九条北松ノ木町３９番地２７,2015-09-14 00:00:00,135.76682451,34.97787777,2015,2010,1
3155,ＭＨ　ＨＯＵＳＥＳ　玉華苑,"周　翰阳
　",簡易宿所,H27.09.18,京都市伏見区肥後町３７５番地１３,2015-09-18 00:00:00,135.75783512,34.93595951,2015,2010,1
1374,雪月花,"特定非営利活動法人クリエーターズ・ジャパン
理事長　村岸　秀和",簡易宿所,H27.09.24,京都市東山区新門前通大和大路東入四丁目松原町２７２番地,2015-09-24 00:00:00,135.77807256,35.00570032,2015,2010,1
1375,藏や　大和大路五条,"株式会社　ライトワン
代表取締役　古川　亮太郎",簡易宿所,H27.09.29,京都市東山区大和大路通五条下る石垣町東側６２番地,2015-09-29 00:00:00,135.77423409,35.00358939,2015,2010,1
2585,アクアプリータ　１０１号,"有限会社　ワンダーランド
代表取締役　野口　大輔",簡易宿所,H27.10.02,京都市南区東九条東山王町５番地,2015-10-02 00:00:00,135.76152504,34.98211611,2015,2010,1
2047,藏や　大宮島原,"株式会社　ライトワン
代表取締役　古川　亮太郎",簡易宿所,H27.10.05,京都市下京区大宮通花屋町下る大宮二丁目575番地1，575番地4,2015-10-05 00:00:00,135.75990238,34.99848695,2015,2010,1
1376,ザ・ビー京都三条,"株式会社イシン・キョウトヒガシヤマ・オペレーションズ
代表取締役　マイケル・ニギッチ",ホテル,H27.10.07,京都市東山区三条大橋東入二町目４９番地の１,2015-10-07 00:00:00,135.77519773,35.00954166,2015,2010,1
2586,ＴＨＥ　ＬＯＷＥＲ　ＥＡＳＴ　ＮＩＮＥ　ＨＯＳＴＥＬ,"株式会社　アルコム
代表取締役　安本　晃通",簡易宿所,H27.10.09,京都市南区東九条南烏丸町３２番地,2015-10-09 00:00:00,135.76020864,34.97934685,2015,2010,1
24,Ｖｉｌｌａ　Ｉｎｃｏｇｎｉｔｏ,"Ｈｉｇｈ　Ｆｉｖｅ　Ｉｎｔｅｒｎａｔｉｏｎａｌ株式会社
代表取締役　サイモン・グランバーガー",簡易宿所,H27.10.14,京都市北区紫野上柏野町５３番地４,2015-10-14 00:00:00,135.73692605,35.03633605,2015,2010,1
1377,麻呂家　五条坂,"アジアンエージェンシー合同会社
代表社員　福井　清高",簡易宿所,H27.10.14,京都市東山区渋谷通東大路東入常盤町４８２番地３４,2015-10-14 00:00:00,135.77665632,34.99274317,2015,2010,1
731,二条城みやび庵,"前田　隆裕
　",簡易宿所,H27.10.14,京都市中京区猪熊通姉小路下る姉猪熊町３１３番地,2015-10-14 00:00:00,135.75023352,35.00898324,2015,2010,1
25,大慈院　離れ,"特定非営利活動法人　京都文化協会
理事　田辺　幸次",簡易宿所,H27.10.15,京都市北区紫野大徳寺町４番地１,2015-10-15 00:00:00,135.74510582,35.04178005,2015,2010,1
2049,東松屋町ウエスト,"株式会社　フォレストジェム
代表取締役　森　英弘",簡易宿所,H27.10.15,京都市下京区花屋町通新町西入東松屋町８４２番地３,2015-10-15 00:00:00,135.75631957,34.9927596,2015,2010,1
2048,東松屋町イースト,"株式会社　ルームマーケット
代表取締役　平野　準",簡易宿所,H27.10.15,京都市下京区花屋町通新町西入東松屋町８４２番地２,2015-10-15 00:00:00,135.75631957,34.9927596,2015,2010,1
2587,東寺町家,"オシュネー　パトリック　マークイヴ
　",簡易宿所,H27.10.15,京都市南区西九条開ケ町１０６番地１,2015-10-15 00:00:00,135.75175923,34.97876069,2015,2010,1
2589,Ｋｕｊｏ　Ｓｔａｙｓ　梅,"嶋本　芳和
　",簡易宿所,H27.10.20,京都市南区東九条中殿田町８番地,2015-10-20 00:00:00,135.7556728,34.98111054,2015,2010,1
2588,Ｋｕｊｏ　Ｓｔａｙｓ　竹,"嶋本　芳和
　",簡易宿所,H27.10.20,京都市南区東九条中殿田町８番地,2015-10-20 00:00:00,135.7556728,34.98111054,2015,2010,1
1378,お宿清水七福,"株式会社　アールアンドダブリュー
代表取締役　長澤　俊祐",簡易宿所,H27.10.20,京都市東山区松原通広道東入清水四丁目172番地7,2015-10-20 00:00:00,135.77423409,35.00358939,2015,2010,1
502,宿ｙａ,"ガーデン・ワールド株式会社
代表取締役　藤井　裕久",簡易宿所,H27.10.20,京都市左京区山端川端町７番地７,2015-10-20 00:00:00,135.7899406,35.05108457,2015,2010,1
732,ＮＯＫＵ　Ｋｙｏｔｏ,"Ｒｏｘｙ‐Ｋｙｏｔｏ　Ｈｏｔｅｌ合同会社
代表社員　ロキシ‐・キョウト・ホテル・ホールディングス・ピ‐ティ‐イ‐・エルティ‐ディ‐　職務執行者　テオ・ホン・ヨウ・クリス",ホテル,H27.10.22,京都市中京区烏丸通丸太町下る大倉町２０５番地１他,2015-10-22 00:00:00,135.75916017,35.01704103,2015,2010,1
734,京宿家　竹間つゆくさ庵,"株式会社プリンチペ・アズーロ
代表取締役　長富　由紀子",簡易宿所,H27.10.28,京都市中京区高倉通夷川上る福屋町７３７番地３,2015-10-28 00:00:00,135.76269601,35.0151634,2015,2010,1
736,麻呂家　猪熊六角,"アジアンエージェンシー合同会社
代表社員　福井　清高",簡易宿所,H27.10.28,京都市中京区猪熊通六角下る六角猪熊町６０５番地,2015-10-28 00:00:00,135.75053078,35.00656399,2015,2010,1
1380,River East 七条,"株式会社　ゲストハウスイン
代表取締役　中村　淳",簡易宿所,H27.10.28,京都市東山区本町七丁目４２番地２,2015-10-28 00:00:00,135.76941005,34.98789077,2015,2010,1
1379,京町家　天の川,"石川　聖子
　",簡易宿所,H27.10.28,京都市東山区三条通南四筋目白川筋西入稲荷町南組５７５番地１２,2015-10-28 00:00:00,135.78074194,34.99443747,2015,2010,1
735,風楽都　壬生,"岡田　好太
　",簡易宿所,H27.10.28,京都市中京区壬生松原町４５番地８,2015-10-28 00:00:00,135.74048465,34.99972553,2015,2010,1
503,スマイル庵,"増田　大藏
　",簡易宿所,H27.10.29,京都市左京区北白川久保田町64番地8,2015-10-29 00:00:00,135.78742675,35.02890659,2015,2010,1
1382,インディゴハウス園２階,"有限会社　アナザー・ワールド
取締役　カーティスハーズ",簡易宿所,H27.10.29,京都市東山区大和大路通四条下る四丁目小松町５６３番地２２,2015-10-29 00:00:00,135.77513686,35.00011748,2015,2010,1
177,京の宿　室町庵,"株式会社ティー・エス・ケー
代表取締役　中谷　博",簡易宿所,H27.10.29,京都市上京区室町新町の間寺之内上る下木下町１３９番地２,2015-10-29 00:00:00,135.75781035,35.03520579,2015,2010,1
1381,インディゴハウス園１階,"有限会社　アナザー・ワールド
取締役　カーティスハーズ",簡易宿所,H27.10.29,京都市東山区大和大路通四条下る四丁目小松町５６３番地２２,2015-10-29 00:00:00,135.77513686,35.00011748,2015,2010,1
3082,ホテル嵐山,"有限会社エムアンドエヌ
代表取締役　藤原　薫",簡易宿所,H27.10.30,京都市西京区嵐山上河原町１番地３,2015-10-30 00:00:00,135.67860588,35.01128816,2015,2010,1
2050,卯月,"宇佐美　郷子
　",簡易宿所,H27.11.02,京都市下京区御幸町通綾小路下る丸屋町４１８番地７,2015-11-02 00:00:00,135.76602941,35.00178395,2015,2010,1
2051,鴨半,"株式会社池林堂半七
代表取締役　小嶋　万太郎",簡易宿所,H27.11.04,京都市下京区木屋町通五条下る都市町143番地9,2015-11-04 00:00:00,135.76713508,34.99454013,2015,2010,1
2052,BochiBochi烏丸,"株式会社　ゲストハウスイン
代表取締役　中村　淳",簡易宿所,H27.11.05,京都市下京区間之町通上珠数屋町下る打越町312番地,2015-11-05 00:00:00,135.76163300000002,34.99164309,2015,2010,1
178,京の宿華西陣,"株式会社　　夛田商店
代表取締役　夛田　光孝",簡易宿所,H27.11.09,京都市上京区五辻通七本松西入西柳町５７２番地１,2015-11-09 00:00:00,135.7380871,35.03091718,2015,2010,1
179,おいない堂,"株式会社　おいない堂
代表取締役　西村　貴志",簡易宿所,H27.11.10,京都市上京区御前通今出川上る二丁目北町６３１番地３,2015-11-10 00:00:00,135.73521237,35.03264472,2015,2010,1
2053,京宿家　開智かきしぶ庵,"AML　Japan　株式会社
代表取締役　梁　顯仁",簡易宿所,H27.11.13,京都市下京区御幸町通綾小路下る丸屋町４１８番地３,2015-11-13 00:00:00,135.76600163,35.00191172,2015,2010,1
2054,Fairfield　House,"古家　有人
　",簡易宿所,H27.11.16,京都市下京区岩上通綾小路下る雁金町401番地,2015-11-16 00:00:00,135.75140028,35.00212269,2015,2010,1
1383,大和大路の宿,"株式会社　リンクアップ
代表取締役　今井　雅敏",簡易宿所,H27.11.16,京都市東山区大和大路通正面下る大和大路二丁目５３７番地,2015-11-16 00:00:00,135.78074194,34.99443747,2015,2010,1
1384,プライベートレジデンス宮川町,"レイバーランド有限会社
代表取締役　齋藤　勉",簡易宿所,H27.11.24,京都市東山区新宮川町通松原下る西御門町４５１番地１,2015-11-24 00:00:00,135.77086791,34.99823985,2015,2010,1
1385,五条坂町家,"オシュネー パトリック マークイヴ
　",簡易宿所,H27.11.24,京都市東山区馬町通大和大路東入五丁目下馬町４９２番地７,2015-11-24 00:00:00,135.77710349999998,34.99251542,2015,2010,1
1386,扇庵園白川,"久保田　敏裕
　",簡易宿所,H27.11.24,京都市東山区智恩院古門前通大和大路東入三丁目古西町３１９番地１５,2015-11-24 00:00:00,135.77651156,35.00715298,2015,2010,1
504,三条１９９９,"松本　一樹
　",簡易宿所,H27.11.30,京都市左京区新富小路通仁王門下る讃州寺町２４０番地,2015-11-30 00:00:00,135.77462276,35.01034715,2015,2010,1
737,Ｃｈｅｌｓｅａ２４,"小林　みよ
　",簡易宿所,H27.12.02,京都市中京区鏡屋町２２番地２,2015-12-02 00:00:00,135.75786866,35.01617442,2015,2010,1
738,Ｋｙｏｔｏ　Ｙｏｋｏ＆Ａｋｉｒａ　Ｇｕｅｓｔｈｏｕｓｅ,"株式会社　Ｆｉｖｅｌｉｖｅｓ
代表取締役　伴　明",簡易宿所,H27.12.02,京都市中京区聚楽廻東町８番地８,2015-12-02 00:00:00,135.74236742,35.01770461,2015,2010,1
2055,八重家　だいく町,"八光地所株式会社
代表取締役　藤林　孝二郎",簡易宿所,H27.12.04,京都市下京区土手町通上ノ口下る大工町４８３番地２,2015-12-04 00:00:00,135.76449932,34.99244584,2015,2010,1
2590,山本,"山本　光雄
　",簡易宿所,H27.12.08,京都市南区吉祥院定成町１８番地５,2015-12-08 00:00:00,135.73624633,34.97750229,2015,2010,1
2056,五条　梅香,"株式会社　うめと商事
代表取締役　梅戸　也",簡易宿所,H27.12.09,京都市下京区西洞院通五条上る八幡町５２５番地１１,2015-12-09 00:00:00,135.75512232,34.99696759,2015,2010,1
2591,らく家　京都駅南,"株式会社　京都建設センター
代表取締役　後寳　三郎",簡易宿所,H27.12.09,京都市南区東九条北烏丸町１４番地,2015-12-09 00:00:00,135.76094734,34.9816939,2015,2010,1
505,カーサ吉田本町,"ビジネス地所有限会社
代表取締役　山田　信子",簡易宿所,H27.12.09,京都市左京区吉田本町２６番地７,2015-12-09 00:00:00,135.7847047,35.02841492,2015,2010,1
2991,京蔵庵,"近藤　喜之
　",簡易宿所,H27.12.10,京都市右京区西院西三蔵町２１番地４,2015-12-10 00:00:00,135.73133261,35.00238075,2015,2010,1
739,二条　すみれ庵,"田中　彰子
　",簡易宿所,H27.12.10,京都市中京区姉小路通堀川東入鍛冶町１７２番地８他,2015-12-10 00:00:00,135.75299990000002,35.00938602,2015,2010,1
506,花背こども村,"熊本　マリ子
　",簡易宿所,H27.12.10,京都市左京区花背八桝町６５０番地,2015-12-10 00:00:00,135.78214984,35.04122173,2015,2010,1
2057,華乃家　別邸,"華栄有限会社
代表取締役　呉沢　一成",簡易宿所,H27.12.15,京都市下京区綾小路通東洞院東入神明町722番地1,2015-12-15 00:00:00,135.76170203,35.00295049,2015,2010,1
2592,ゲストハウス京都駅前,"尹　熙淑
　",簡易宿所,H27.12.22,京都市南区東九条東岩本町１８番地６,2015-12-22 00:00:00,135.76538562,34.98395216,2015,2010,1
26,Theatre and Library Residence,"吉原　理江子
　",簡易宿所,H27.12.22,京都市北区紫野上柏野町３２番地１２,2015-12-22 00:00:00,135.73800094,35.03626664,2015,2010,1
740,ＳＥＩＢＩＤＯ　ＩＮＮ,"精美堂印刷株式会社
代表取締役　田中　耕造",簡易宿所,H27.12.22,京都市中京区新椹木町通夷川上る西革堂町２０４番地,2015-12-22 00:00:00,135.76828438,35.01475786,2015,2010,1
1387,長屋（チョウヤ）,"株式会社　オサダ
代表取締役　長田　孝子",簡易宿所,H27.12.22,京都市東山区五条橋東六丁目５８３番地５１,2015-12-22 00:00:00,135.77995312,34.99522072,2015,2010,1
741,満き,"山野　暢子
　",簡易宿所,H27.12.24,京都市中京区室町通竹屋町東入亀屋町１４２番地,2015-12-24 00:00:00,135.76326263,35.01480787,2015,2010,1
2058,京の宿　縁,"株式会社　大弥
代表取締役　稲田　浩行",簡易宿所,H27.12.25,京都市下京区東洞院通七条上る飴屋町263番地，263番地1,2015-12-25 00:00:00,135.76116365,34.99030429999999,2015,2010,1
27,エキスポ　ホステル　織,"株式会社　新和建設
代表取締役　小森　裕",簡易宿所,H27.12.25,京都市北区紫野西藤ノ森町２番地の４,2015-12-25 00:00:00,135.74624735,35.03684455,2015,2010,1
742,田崎屋,"株式会社　ｄｏｔ
代表取締役　永田　翔",簡易宿所,H27.12.25,京都市中京区竹屋町通西洞院西入東竹屋町４２５番地,2015-12-25 00:00:00,135.75429403,35.01634935,2015,2010,1
2059,KAEDE　GUESTHOUSE,"株式会社　畑中
代表取締役　畑中　誠司",簡易宿所,H28.01.04,京都市下京区高通柳馬場西入泉正寺町465番地2，472番地,2016-01-04 00:00:00,135.76289368,34.99990909,2016,2010,1
2060,四条堀川ＩＮＮ～５Ｄａｙｓ,"株式会社　シェアプラス
代表取締役　萩本　教保",簡易宿所,H28.01.07,京都市下京区西綾小路西半町９１番地,2016-01-07 00:00:00,135.75301122,35.00261434,2016,2010,1
507,ゲストハウス　牡丹ハウス,"呉　瓊玲
　",簡易宿所,H28.01.08,京都市左京区聖護院川原町３５番地２４,2016-01-08 00:00:00,135.77728069,35.01781038,2016,2010,1
1388,京都清水おかげ庵,"株式会社　イー・エージェンシー
代表取締役　甲斐　真樹",簡易宿所,H28.01.12,京都市東山区大仏馬町伏見街道東入五丁目常盤町４５９番地２３,2016-01-12 00:00:00,135.77506483,34.99268483,2016,2010,1
1389,京都清水の町家 和”NAGOMI”,"株式会社　スターゲイトホテル
代表取締役　大久保　智司",簡易宿所,H28.01.12,京都市東山区清水門前松原産寧坂西入清水四丁目180番地3及び180番地4,2016-01-12 00:00:00,135.77423409,35.00358939,2016,2010,1
2061,麻呂家　中堂寺,"アジアンエージェンシー合同会社
代表社員　福井　清高",簡易宿所,H28.01.12,京都市下京区中堂寺北町18番地3,2016-01-12 00:00:00,135.74111243,34.99732017,2016,2010,1
2593,御旅庵,"福原　洋子
　",簡易宿所,H28.01.13,京都市南区西九条横町27番地,2016-01-13 00:00:00,135.75014256,34.98392968,2016,2010,1
1812,京都おこしやすHOUSE　NISHIMURA,"西村　充子
　",簡易宿所,H28.01.13,京都市山科区大宅中小路町61-7,2016-01-13 00:00:00,135.8248927,34.96979421,2016,2010,1
1390,京宿庵　なでしこ　白川,"佐藤　寿
　",簡易宿所,H28.01.19,京都市東山区三条南二筋目白川筋西入二丁目南側南木之元町５３９番地６,2016-01-19 00:00:00,135.77829192,35.00827511,2016,2010,1
